hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price,Size
Oasis Najran Hotel,Najran  ,245,Budget Double Room,1,8.6,Fabulous,869,1,6.767343125265390,5.501258210544730,28
Fadet Talla Residentials,Buraydah  ,128,Studio Apartment,1,7.1,Good,462,1,6.135564891081740,4.852030263919620,28
Palms Lily Hotel Suites,Al Ahsa  ,140,Studio,1,6.2,Very good,1548,1,7.344719054149670,4.941642422609300,35
Al Hamra Palace By Warwick,Riyadh  ,370,Deluxe Room,1,7.2,Good,1233,1,7.117205503164340,5.91350300563827,29
Almakan Almosafer Hotel 106,Riyadh  ,153,One-Bedroom Apartment,1,5.7,Very good,1057,1,6.963189985870240,5.030437921392440,35
Tulip Jazan,Jazan  ,130,Double Room,1,6.4,Very good,465,1,6.142037405587360,4.867534450455580,30
جولدن روز Golden Rose,Jazan  ,324,Deluxe King Studio,2,8.5,Good,99,1,4.59511985013459,5.780743515792330,37
Manarat Al Misk Hotel,Makkah ,100,Basic Triple Room,3,6.9,Very good,517,1,6.248042874508430,4.605170185988090,28
Madeira Hotel Suites,Al Khobar  ,349,One-Bedroom Suite,1,8.1,Good,333,1,5.808142489980440,5.855071922202430,40
منازل جدة للوحدات السكنية,Jeddah  ,203,Two-Bedroom Apartment,4,7.4,Good,670,1,6.507277712385010,5.313205979041790,54
Afraa Hotel,Makkah  ,151,Triple Room,3,8.0,Good,2183,1,7.688455356549940,5.017279836814920,28
Holiday Villa Resort Yanbu,Yanbu  ,943,Deluxe Suite with Sea View,3,7.6,Good,457,1,6.124683390894210,6.849066282633460,35
Grand Plaza Hotel-KAFD Riyadh,Riyadh  ,418,Standard Double Room,1,8.1,Good,472,1,6.156978985585560,6.035481432524760,29
Qasr Al Hamra ApartHotel Al Hamra Branch,Jeddah  ,144,Deluxe Studio,1,7.1,Good,298,1,5.697093486505410,4.969813299576000,35
نزل خيال للوحدات السكنية,Abha  ,167,One-Bedroom Apartment,2,7.0,Good,174,1,5.159055299214530,5.117993812416760,30
"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah,450,Fairmont King with City View,1,8.3,Good,19474,1,9.876835521538700,6.1092475827643700,37
Al Muhaidb Al Narges,Riyadh  ,250,Studio,1,7.2,Good,946,1,6.852242569051880,5.521460917862250,28
التميز,Riyadh,162,One-Bedroom Apartment,1,0.0,Very good,0,1,-inf,5.087596335232380,40
Palms Lily Hotel Suites,Al Ahsa ,140,Studio,1,6.2,Very good,1548,1,7.344719054149670,4.941642422609300,28
Manarat Al Misk Hotel,Makkah,100,Basic Triple Room,3,6.9,Very good,517,1,6.248042874508430,4.605170185988090,28
Holiday Villa Resort Yanbu,Yanbu ,943,Deluxe Suite with Sea View,3,7.6,Good,457,1,6.124683390894210,6.849066282633460,35
شقة مفروشة حي الشروق مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City  ,320,Two-Bedroom Apartment,3,7.5,Good,4,1,1.3862943611198900,5.768320995793770,29
نزل خيال للوحدات السكنية,Abha S,167,One-Bedroom Apartment,2,7.0,Good,174,1,5.159055299214530,5.117993812416760,35
هتان السودة,Abha,249,Two-Bedroom Villa,3,8.2,Good,5,1,1.6094379124341000,5.517452896464710,30
Al Aqeeq Madinah Hotel,Madinah,285,"Classic Room King bed, City View",1,7.8,Good,6466,1,8.774312958285380,5.652489180268650,37
اطلالة الشرفة3 -Terrace view Residence,Dammam  ,186,One-Bedroom Apartment,1,8.0,Good,639,1,6.459904454377540,5.225746673713200,28
Karam Al Hejaz,Madinah,105,Deluxe Double Room,2,5.9,Very good,198,1,5.288267030694540,4.653960350157520,40
OYO 586 Al Tamayoz Al Raqi Hira,Jeddah,154,One-Bedroom Apartment,1,7.7,Good,35,1,3.5553480614894100,5.0369526024136300,28
Masat Darkom 2 Furnished Apartments,Buraydah ,200,Studio,1,7.5,Good,258,1,5.552959584921620,5.298317366548040,28
Loaloat Al Khobar,Al Khobar  ,189,Deluxe Studio,1,7.2,Good,468,1,6.148468295917650,5.241747015059640,35
Dar Hashim Hotel Apartments - Al Morouj,Riyadh  ,380,One-Bedroom Apartment,1,8.9,Fabulous,2320,1,7.749322464660360,5.940171252720430,29
العييري للوحدات السكنية المفروشة الباحة 2,Al Baha  ,90,One-Bedroom Apartment,2,3.6,Very good,294,1,5.683579767338680,4.499809670330270,35
Mira Waterfront Hotel Jeddah,Jeddah  ,285,Superior King Room with City View,1,6.4,Very good,5769,1,8.660254034256890,5.652489180268650,30
Taleen AlQuds 2 hotel apartments,Riyadh  ,160,One-Bedroom Apartment,1,5.8,Very good,119,1,4.77912349311153,5.075173815233830,37
Alfarhan Panda Alfayha,Riyadh  ,288,Budget Double Room,1,8.0,Good,943,1,6.849066282633460,5.662960480135950,28
Dana Hotel & Residences,Riyadh  ,350,Deluxe Double Room,1,8.8,Fabulous,716,1,6.573680166960650,5.857933154483460,40
Emerald Hotel,Jeddah  ,325,Deluxe King Room,1,8.5,Good,1047,1,6.953684210870540,5.783825182329740,28
فندق ديار السلام,Madinah,117,Double Room,2,7.2,Good,583,1,6.368187186350490,4.762173934797760,28
فندق رحيق المدينه,Al Madinah  ,90,Budget Double Room,2,5.1,Very good,87,1,4.465908118654580,4.499809670330270,35
Signature Al Khobar Hotel,Al Khobar  ,332,Standard  Room,1,7.1,Good,1499,1,7.312553498102600,5.805134968916490,29
"KAEC, Bay La Sun, Marina 2, Studio with Garden Patio",King Abdullah Economic City  ,570,Family Studio,2,8.8,Fabulous,77,1,4.343805421853680,6.345636360828600,35
Park Jizan Hotel,Jazan  ,300,Deluxe Room (2 Adults + 1 Child),1,7.8,Good,810,1,6.697034247666480,5.703782474656200,30
Afaq Jeddah 3,Jeddah  ,160,Budget Double Room,1,7.2,Good,9,1,2.1972245773362200,5.075173815233830,37
فندق أعيان الششة,Makkah  ,61,Double Room with Private Bathroom,2,6.4,Very good,46,1,3.828641396489100,4.110873864173310,28
Khaleej ALez Furnished Units,Dammam  ,122,Studio Apartment,3,6.8,Very good,588,1,6.376726947898630,4.804021044733260,40
الحماد للشقق الفندقية,Jeddah  ,150,King Room,1,7.2,Good,66,1,4.189654742026430,5.0106352940962600,28
Silent Room 1 By Quiet Rooms,Riyadh  ,183,One-Bedroom Apartment,1,6.8,Very good,446,1,6.100318952020060,5.209486152841420,28
شاليه فيلا درة العروس,Jeddah ,2000,Two-Bedroom Chalet,9,8.5,Good,77,1,4.343805421853680,7.600902459542080,90
Chalet Y&M,Ar Rafī‘ah  ,720,One-Bedroom Chalet,4,0.0,Very good,0,1,-inf,6.579251212010100,58
Al Muhaidb Tahliya (Olaya),Raʼs Munaysif,240,Studio,1,6.3,Very good,598,1,6.393590753950630,5.480638923341990,35
