,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
18,Golden Sea Hotel,Obhor,SAR 219.00,"1 night, 1 adult",Deluxe Single Room,1 single bed,8.2,Very good,171 reviews,"/hotel/sa/golden-sea.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=750418405_332266110_1_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=294&highlighted_blocks=750418405_332266110_1_2_0&hpos=19&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=750418405_332266110_1_2_0__21870&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
19,Central Park Hotel Bisha فندق سنترال بارك بيشة,Khamis Mushayt,SAR 309.00,"1 night, 1 adult",Superior King Room,1 extra-large double bed,8.2,Very good,195 reviews,"/hotel/sa/central-park-bisha.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=691402101_285003036_1_41_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=295&highlighted_blocks=691402101_285003036_1_41_0&hpos=20&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=691402101_285003036_1_41_0__30910&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
20,Desert Rose Motel,Al Ghāţ Show on map,SAR 150.00,"1 night, 1 adult",Family Room with Private Bathroom,1 large double bed,,,,"/hotel/sa/desert-rose-motel.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=729015902_324733583_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=296&highlighted_blocks=729015902_324733583_2_0_0&hpos=21&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=729015902_324733583_2_0_0__15000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
21,Golden Dune Hotel,Ţurayf Show on map,SAR 180.00,"1 night, 1 adult",Superior King Room,1 extra-large double bed,9.0,Superb,"1,733 reviews","/hotel/sa/golden-dune-turaif.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=359860610_333337414_0_41_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=297&highlighted_blocks=359860610_333337414_0_41_0&hpos=22&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=359860610_333337414_0_41_0__18000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
22,قصر البالود 2,Az Zahrāʼ Show on map,SAR 220.00,"1 night, 1 adult",Three-Bedroom Suite,"5 beds
(2 singles, 2 doubles, 1 sofa bed)",8.9,Fabulous,228 reviews,"/hotel/sa/qsr-lblwd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=725065304_310318428_7_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=298&highlighted_blocks=725065304_310318428_7_0_0&hpos=23&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=725065304_310318428_7_0_0__22000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
23,Lavana Furnished Apartments Jeddah,Al ‘Azīzīyah Show on map,SAR 500.00,"1 night, 1 adult",Family Studio,"3 beds
(2 singles, 1 extra-large double)",9.0,Superb,48 reviews,"/hotel/sa/l-nqwd-lhmr-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=766246902_334130848_4_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=299&highlighted_blocks=766246902_334130848_4_0_0&hpos=24&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=766246902_334130848_4_0_0__50000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
24,Nakheel Moon Aparthotel,Wadi Al Dawasir Show on map,SAR 230.00,"1 night, 1 adult",Deluxe Room,Beds: 1 double or 2 singles,6.7,Review score,51 reviews,"/hotel/sa/nakheel-moon-aparthotel.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=32e9aa4b51e1e1e086d6e9708e04d9cb&all_sr_blocks=230941305_100424202_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=300&highlighted_blocks=230941305_100424202_2_2_0&hpos=25&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=230941305_100424202_2_2_0__23000&srepoch=1634417388&srpvid=9b8192752f3a0003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
25,زيد للأجنحة الفندقية - Zaid Hotel Suites,Ţurayf Show on map,SAR 172.00,"1 night, 1 adult",Deluxe Double Room,2 single beds,8.9,Fabulous,41 reviews,"/hotel/sa/zyd-ll-jnh-lfndqy-turayf.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=296279011_110038818_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=301&highlighted_blocks=296279011_110038818_0_0_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=296279011_110038818_0_0_0__17200&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
26,Le Park Concord Hotel,‘Afīf Show on map,SAR 185.00,"1 night, 1 adult",Deluxe Single Room,1 single bed,9.0,Superb,423 reviews,"/hotel/sa/le-park-concord-afif.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=325058601_115134736_1_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=302&highlighted_blocks=325058601_115134736_1_0_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=325058601_115134736_1_0_0__18500&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
27,Almudawah Hotel,Ţurayf Show on map,SAR 160.00,"1 night, 1 adult",Superior Single Room,Multiple bed types,8.3,Very good,119 reviews,"/hotel/sa/almudawah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=180806401_335457501_0_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=303&highlighted_blocks=180806401_335457501_0_1_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=180806401_335457501_0_1_0__16000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
28,اجنحة ياقوتة المدينة,Sīdī Ḩamzah Show on map,SAR 250.00,"1 night, 1 adult",King Studio,1 extra-large double bed,9.2,Superb,6 reviews,"/hotel/sa/jnh-yqwt-lmdyn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=771459108_336228182_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=304&highlighted_blocks=771459108_336228182_0_0_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=771459108_336228182_0_0_0__25000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
29,Mohamadia Al Zahra Hotel,"Central Madinah, Al Madinah Show on map",SAR 130.00,"1 night, 1 adult",Superior King Room,1 extra-large double bed,7.5,Good,"1,407 reviews","/hotel/sa/mohamadia-al-zahra-lmdynh-lmnwr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=310743808_112939003_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=305&highlighted_blocks=310743808_112939003_2_0_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=310743808_112939003_2_0_0__13000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
30,ربوة الصفوة Rabwat Al-Safwah 8,Sulţānah Show on map,SAR 105.00,"1 night, 1 adult",King Room,1 large double bed,7.6,Good,14 reviews,"/hotel/sa/rabwat-al-safwah-8-rbw-lsfw.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=717818310_299162514_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=306&highlighted_blocks=717818310_299162514_2_0_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=717818310_299162514_2_0_0__10500&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
31,MENA AL DIYAR 114,"Al Malaz, Riyadh Show on map",SAR 55.00,"1 night, 1 adult",Small Single Room,1 single bed,6.3,Review score,290 reviews,"/hotel/sa/mena-al-diyar-114.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=741514501_329114886_1_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=307&highlighted_blocks=741514501_329114886_1_0_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=741514501_329114886_1_0_0__5508&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
32,Sharurah Plaza Hotel,Sharurah Show on map,SAR 200.00,"1 night, 1 adult",One-Bedroom Apartment,"3 beds
(2 singles, 1 sofa bed)",8.7,Fabulous,294 reviews,"/hotel/sa/sharurah-plaza.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=202457313_201460317_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=308&highlighted_blocks=202457313_201460317_2_0_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=202457313_201460317_2_0_0__20000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
33,Ladera Hotel Tanomah,Tanomah Show on map,SAR 300.00,"1 night, 1 adult",Studio,1 extra-large double bed,7.2,Good,163 reviews,"/hotel/sa/ladera-ldyr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=372589804_206504407_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=309&highlighted_blocks=372589804_206504407_2_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=372589804_206504407_2_0_0__30000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
34,Al Jahwah hotel by AL BALAD INN,Al Namas Show on map,SAR 200.00,"1 night, 1 adult",Deluxe Double Room (2 Adults + 1 Child),1 extra-large double bed,8.1,Very good,398 reviews,"/hotel/sa/ljhw-ll-jnh-wlshqq-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=503050903_295793119_1_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=310&highlighted_blocks=503050903_295793119_1_2_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=503050903_295793119_1_2_0__20000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
35,Al Andlus Palace 2 Hotel Kurban فندق قصر الاندلس 2 قربان,Al ‘Awālī Show on map,SAR 160.00,"1 night, 1 adult",Large Double Room,2 single beds,7.9,Good,58 reviews,"/hotel/sa/al-andlus-palace-2-kurban.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=686277701_279063059_3_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=311&highlighted_blocks=686277701_279063059_3_0_0&hpos=11&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=686277701_279063059_3_0_0__16000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
36,Qemam Al Safwah Grand Hotel,Rafha Show on map,SAR 135.00,"1 night, 1 adult",Double Room,1 double bed,5.9,Review score,19 reviews,"/hotel/sa/qemam-al-safwah-grand.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=123419701_186764234_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=312&highlighted_blocks=123419701_186764234_0_0_0&hpos=12&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=123419701_186764234_0_0_0__13500&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
37,Rabigh Park Hotel,Rabigh Show on map,SAR 288.00,"1 night, 1 adult",Deluxe Double Room,1 extra-large double bed,8.0,Very good,530 reviews,"/hotel/sa/rabigh-park.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=197953902_325382700_0_1_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=313&highlighted_blocks=197953902_325382700_0_1_0&hpos=13&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=197953902_325382700_0_1_0__28800&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
38,منتجع جيدا بارك,Riyadh Al Khabra Show on map,SAR 500.00,"1 night, 1 adult",Cottage with Garden View,"3 beds
(1 extra-large double, 2 sofa beds)",8.7,Fabulous,361 reviews,"/hotel/sa/jeeda-park-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=387826902_335441356_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=314&highlighted_blocks=387826902_335441356_2_0_0&hpos=14&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=387826902_335441356_2_0_0__50000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
39,Kyona Purple -Al Qurayat,Jeddah Show on map,SAR 140.00,"1 night, 1 adult",Studio,2 single beds,8.4,Very good,77 reviews,"/hotel/sa/mirada-al-gorayat.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=590810401_231804861_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=315&highlighted_blocks=590810401_231804861_2_0_0&hpos=15&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=590810401_231804861_2_0_0__14000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
40,Milan Hotel,Makkah,SAR 285.00,"1 night, 1 adult",One-Bedroom Apartment,1 extra-large double bed,7.6,Good,15 reviews,"/hotel/sa/fndq-lwlwh-lfrsn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=550687001_202800903_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=316&highlighted_blocks=550687001_202800903_2_0_0&hpos=16&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=550687001_202800903_2_0_0__28500&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
41,Al Rawda Al Aqeeq Hotel,"Central Madinah, Al Madinah Show on map",SAR 161.00,"1 night, 1 adult",Standard Twin Room,2 single beds,7.2,Good,"3,503 reviews","/hotel/sa/rawdat-al-aqiq-al-madinah1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=202284801_94728138_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=317&highlighted_blocks=202284801_94728138_0_2_0&hpos=17&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=202284801_94728138_0_2_0__16119&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
42,Jawharat Al Amaken Hotel,Taymāʼ Show on map,SAR 230.00,"1 night, 1 adult",One-Bedroom Apartment,1 large double bed,8.7,Fabulous,160 reviews,"/hotel/sa/fndq-jwhr-l-mkn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=391022201_200760353_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=318&highlighted_blocks=391022201_200760353_2_0_0&hpos=18&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=391022201_200760353_2_0_0__23000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
43,manzel aram 105,Riyadh Show on map,SAR 55.00,"1 night, 1 adult",Small Single Room,1 single bed,5.7,Review score,701 reviews,"/hotel/sa/mayyun-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=174527701_91500809_1_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=319&highlighted_blocks=174527701_91500809_1_0_0&hpos=19&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=174527701_91500809_1_0_0__5508&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
44,فندق جولدن العرين,Abha Show on map,SAR 154.00,"1 night, 1 adult",Budget Double Room,1 extra-large double bed,9.9,Exceptional,127 reviews,"/hotel/sa/jwldn-bh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=767476801_334319782_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=320&highlighted_blocks=767476801_334319782_2_0_0&hpos=20&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=767476801_334319782_2_0_0__15400&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
45,فندق العروبة,Riyadh Show on map,SAR 89.00,"1 night, 1 adult",King Studio,1 large double bed,6.1,Review score,"2,407 reviews","/hotel/sa/al-39-oroba.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=139135405_169497837_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=321&highlighted_blocks=139135405_169497837_0_0_0&hpos=21&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=139135405_169497837_0_0_0__8900&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
46,Faifa Hotel,Fayfāʼ Show on map,"SAR 1,210.00","1 night, 1 adult",Superior Suite,1 large double bed,7.0,Good,302 reviews,"/hotel/sa/faifa.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=168465005_335452547_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=322&highlighted_blocks=168465005_335452547_0_2_0&hpos=22&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=168465005_335452547_0_2_0__121000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
47,العييري للوحدات المفروشة الباحة3,Waḩţān Show on map,SAR 110.00,"1 night, 1 adult",Double Room with Private Bathroom,2 single beds,3.7,Review score,72 reviews,"/hotel/sa/l-yyry-llwhdt-lskny-lmfrwsh-lbh-3-lbh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=734186001_327203230_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=323&highlighted_blocks=734186001_327203230_2_0_0&hpos=23&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=734186001_327203230_2_0_0__11000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
48,Anwar Al Zahraa Hotel,"Central Madinah, Al Madinah Show on map",SAR 100.00,"1 night, 1 adult",Double Room,2 single beds,7.3,Good,259 reviews,"/hotel/sa/anwar-al-zahraa.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=0d1d480153b70c6531640051d20ba1aa&all_sr_blocks=311172601_113037874_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=324&highlighted_blocks=311172601_113037874_2_0_0&hpos=24&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=311172601_113037874_2_0_0__10000&srepoch=1634417640&srpvid=829792f48cc00077&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
